date,year_number,year_name,quarter_number,quarter_name,month_number,month_name,week_number,week_name,week_day_number,week_day_name,business_day
2022-10-01 00:00:00,2022,FY22,4,Q4,10,October,40,W40,7,Saturday,f
2022-10-02 00:00:00,2022,FY22,4,Q4,10,October,41,W41,1,Sunday,f
2022-10-03 00:00:00,2022,FY22,4,Q4,10,October,41,W41,2,Monday,t
2022-10-04 00:00:00,2022,FY22,4,Q4,10,October,41,W41,3,Tuesday,t
2022-10-05 00:00:00,2022,FY22,4,Q4,10,October,41,W41,4,Wednesday,t
2022-10-06 00:00:00,2022,FY22,4,Q4,10,October,41,W41,5,Thursday,t
2022-10-07 00:00:00,2022,FY22,4,Q4,10,October,41,W41,6,Friday,t
2022-10-08 00:00:00,2022,FY22,4,Q4,10,October,41,W41,7,Saturday,f
2022-10-09 00:00:00,2022,FY22,4,Q4,10,October,42,W42,1,Sunday,f
2022-10-10 00:00:00,2022,FY22,4,Q4,10,October,42,W42,2,Monday,t
2022-10-11 00:00:00,2022,FY22,4,Q4,10,October,42,W42,3,Tuesday,t
2022-10-12 00:00:00,2022,FY22,4,Q4,10,October,42,W42,4,Wednesday,t
2022-10-13 00:00:00,2022,FY22,4,Q4,10,October,42,W42,5,Thursday,t
2022-10-14 00:00:00,2022,FY22,4,Q4,10,October,42,W42,6,Friday,t
2022-10-15 00:00:00,2022,FY22,4,Q4,10,October,42,W42,7,Saturday,f
2022-10-16 00:00:00,2022,FY22,4,Q4,10,October,43,W43,1,Sunday,f
2022-10-17 00:00:00,2022,FY22,4,Q4,10,October,43,W43,2,Monday,t
2022-10-18 00:00:00,2022,FY22,4,Q4,10,October,43,W43,3,Tuesday,t
2022-10-19 00:00:00,2022,FY22,4,Q4,10,October,43,W43,4,Wednesday,t
2022-10-20 00:00:00,2022,FY22,4,Q4,10,October,43,W43,5,Thursday,t
2022-10-21 00:00:00,2022,FY22,4,Q4,10,October,43,W43,6,Friday,t
2022-10-22 00:00:00,2022,FY22,4,Q4,10,October,43,W43,7,Saturday,f
2022-10-23 00:00:00,2022,FY22,4,Q4,10,October,44,W44,1,Sunday,f
2022-10-24 00:00:00,2022,FY22,4,Q4,10,October,44,W44,2,Monday,t
2022-10-25 00:00:00,2022,FY22,4,Q4,10,October,44,W44,3,Tuesday,t
2022-10-26 00:00:00,2022,FY22,4,Q4,10,October,44,W44,4,Wednesday,t
2022-10-27 00:00:00,2022,FY22,4,Q4,10,October,44,W44,5,Thursday,t
2022-10-28 00:00:00,2022,FY22,4,Q4,10,October,44,W44,6,Friday,t
2022-10-29 00:00:00,2022,FY22,4,Q4,10,October,44,W44,7,Saturday,f
2022-10-30 00:00:00,2022,FY22,4,Q4,10,October,45,W45,1,Sunday,f
2022-10-31 00:00:00,2022,FY22,4,Q4,10,October,45,W45,2,Monday,t
2022-11-01 00:00:00,2022,FY22,4,Q4,11,November,45,W45,3,Tuesday,f
2022-11-02 00:00:00,2022,FY22,4,Q4,11,November,45,W45,4,Wednesday,t
2022-11-03 00:00:00,2022,FY22,4,Q4,11,November,45,W45,5,Thursday,t
2022-11-04 00:00:00,2022,FY22,4,Q4,11,November,45,W45,6,Friday,t
2022-11-05 00:00:00,2022,FY22,4,Q4,11,November,45,W45,7,Saturday,f
2022-11-06 00:00:00,2022,FY22,4,Q4,11,November,46,W46,1,Sunday,f
2022-11-07 00:00:00,2022,FY22,4,Q4,11,November,46,W46,2,Monday,t
2022-11-08 00:00:00,2022,FY22,4,Q4,11,November,46,W46,3,Tuesday,t
2022-11-09 00:00:00,2022,FY22,4,Q4,11,November,46,W46,4,Wednesday,t
